course,geoLevel,geoName,sex,stage,value,sourceId
2024-2025,province,Cádiz,total,FP BÁSICA,0,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,FP GRADO MEDIO,3,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,total,FP GRADO SUPERIOR,7,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,TOTAL,1337,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,E. INFANTIL 2.º CICLO,9,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,TOTAL PRIMARIA,525,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,E. Primaria 1.º,42,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,E. Primaria 2.º,87,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,E. Primaria 3.º,109,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,E. Primaria 4.º,85,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,E. Primaria 5.º,108,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,E. Primaria 6.º,94,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,TOTAL ESO,534,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,1º E.S.O.,107,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,2º E.S.O.,140,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,3º E.S.O.,142,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,4º E.S.O.,145,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,BACHILLERATO,260,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,FP BÁSICA,0,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,FP GRADO MEDIO,3,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,hombre,FP GRADO SUPERIOR,6,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,TOTAL,756,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,E. INFANTIL 2.º CICLO,3,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,TOTAL PRIMARIA,282,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,E. Primaria 1.º,18,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,E. Primaria 2.º,46,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,E. Primaria 3.º,60,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,E. Primaria 4.º,54,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,E. Primaria 5.º,54,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,E. Primaria 6.º,50,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,TOTAL ESO,297,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,1º E.S.O.,43,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,2º E.S.O.,83,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,3º E.S.O.,84,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,4º E.S.O.,87,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,BACHILLERATO,173,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,FP BÁSICA,0,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,FP GRADO MEDIO,0,educabase-otros-03-2024-2025
2024-2025,province,Cádiz,mujer,FP GRADO SUPERIOR,1,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,TOTAL,2068,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,E. INFANTIL 2.º CICLO,6,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,TOTAL PRIMARIA,832,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,E. Primaria 1.º,60,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,E. Primaria 2.º,93,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,E. Primaria 3.º,147,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,E. Primaria 4.º,153,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,E. Primaria 5.º,168,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,E. Primaria 6.º,211,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,TOTAL ESO,838,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,1º E.S.O.,175,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,2º E.S.O.,221,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,3º E.S.O.,226,educabase-otros-03-2024-2025
2024-2025,province,Córdoba,total,4º E.S.O.,216,educabase-otros-03-2024-2025
